,datetime,year,month,day,value,color,type
0,2018-03-01,2018,03,01,3.8000000000000003,,PRCP
0,2018-03-02,2018,03,02,-999.9000000000001,,PRCP
0,2018-03-03,2018,03,03,0.0,,PRCP
0,2018-03-04,2018,03,04,6.6000000000000005,,PRCP
0,2018-03-05,2018,03,05,6.6000000000000005,,PRCP
0,2018-03-06,2018,03,06,8.9,,PRCP
0,2018-03-07,2018,03,07,2.8000000000000003,,PRCP
0,2018-03-08,2018,03,08,0.5,,PRCP
0,2018-03-09,2018,03,09,0.0,,PRCP
0,2018-03-10,2018,03,10,-999.9000000000001,,PRCP
0,2018-03-11,2018,03,11,-999.9000000000001,,PRCP
0,2018-03-12,2018,03,12,-999.9000000000001,,PRCP
0,2018-03-13,2018,03,13,4.1000000000000005,,PRCP
0,2018-03-14,2018,03,14,1.8,,PRCP
0,2018-03-15,2018,03,15,0.5,,PRCP
0,2018-03-16,2018,03,16,-999.9000000000001,,PRCP
0,2018-03-17,2018,03,17,6.9,,PRCP
0,2018-03-18,2018,03,18,10.9,,PRCP
0,2018-03-19,2018,03,19,7.9,,PRCP
0,2018-03-20,2018,03,20,0.30000000000000004,,PRCP
0,2018-03-21,2018,03,21,0.0,,PRCP
0,2018-03-22,2018,03,22,0.0,,PRCP
0,2018-03-23,2018,03,23,-999.9000000000001,,PRCP
0,2018-03-24,2018,03,24,14.700000000000001,,PRCP
0,2018-03-25,2018,03,25,0.8,,PRCP
0,2018-03-26,2018,03,26,0.5,,PRCP
0,2018-03-27,2018,03,27,0.0,,PRCP
0,2018-03-28,2018,03,28,-999.9000000000001,,PRCP
0,2018-03-29,2018,03,29,0.5,,PRCP
0,2018-03-30,2018,03,30,0.0,,PRCP
0,2018-04-01,2018,04,01,-999.9000000000001,,PRCP
0,2018-04-02,2018,04,02,-999.9000000000001,,PRCP
0,2018-04-03,2018,04,03,14.5,,PRCP
0,2018-04-04,2018,04,04,2.0,,PRCP
0,2018-04-05,2018,04,05,3.8000000000000003,,PRCP
0,2018-04-06,2018,04,06,-999.9000000000001,,PRCP
0,2018-04-07,2018,04,07,0.0,,PRCP
0,2018-04-08,2018,04,08,-999.9000000000001,,PRCP
0,2018-04-09,2018,04,09,-999.9000000000001,,PRCP
0,2018-04-10,2018,04,10,-999.9000000000001,,PRCP
0,2018-04-11,2018,04,11,-999.9000000000001,,PRCP
0,2018-04-12,2018,04,12,7.6000000000000005,,PRCP
0,2018-04-13,2018,04,13,7.9,,PRCP
0,2018-04-14,2018,04,14,1.5,,PRCP
0,2018-04-15,2018,04,15,1.0,,PRCP
0,2018-04-16,2018,04,16,0.0,,PRCP
0,2018-04-17,2018,04,17,-999.9000000000001,,PRCP
0,2018-04-18,2018,04,18,-999.9000000000001,,PRCP
0,2018-04-19,2018,04,19,-999.9000000000001,,PRCP
0,2018-04-20,2018,04,20,2.3000000000000003,,PRCP
0,2018-04-21,2018,04,21,-999.9000000000001,,PRCP
0,2018-04-22,2018,04,22,21.1,,PRCP
0,2018-04-23,2018,04,23,-999.9000000000001,,PRCP
0,2018-04-24,2018,04,24,0.30000000000000004,,PRCP
0,2018-04-25,2018,04,25,4.1000000000000005,,PRCP
0,2018-04-26,2018,04,26,5.1000000000000005,,PRCP
0,2018-04-27,2018,04,27,2.3000000000000003,,PRCP
0,2018-04-28,2018,04,28,0.0,,PRCP
0,2018-04-29,2018,04,29,7.9,,PRCP
0,2018-04-30,2018,04,30,-999.9000000000001,,PRCP
0,2018-05-01,2018,05,01,6.9,,PRCP
0,2018-05-02,2018,05,02,-999.9000000000001,,PRCP
0,2018-05-03,2018,05,03,-999.9000000000001,,PRCP
0,2018-05-04,2018,05,04,0.5,,PRCP
0,2018-05-05,2018,05,05,0.30000000000000004,,PRCP
0,2018-05-06,2018,05,06,25.900000000000002,,PRCP
0,2018-05-07,2018,05,07,0.0,,PRCP
0,2018-05-08,2018,05,08,0.0,,PRCP
0,2018-05-09,2018,05,09,1.5,,PRCP
0,2018-05-10,2018,05,10,1.0,,PRCP
0,2018-05-11,2018,05,11,59.400000000000006,,PRCP
0,2018-05-12,2018,05,12,6.6000000000000005,,PRCP
0,2018-05-13,2018,05,13,6.6000000000000005,,PRCP
0,2018-05-14,2018,05,14,0.0,,PRCP
0,2018-05-15,2018,05,15,-999.9000000000001,,PRCP
0,2018-05-16,2018,05,16,-999.9000000000001,,PRCP
0,2018-05-17,2018,05,17,-999.9000000000001,,PRCP
0,2018-05-18,2018,05,18,1.3,,PRCP
0,2018-05-19,2018,05,19,0.5,,PRCP
0,2018-05-20,2018,05,20,-999.9000000000001,,PRCP
0,2018-05-21,2018,05,21,0.0,,PRCP
0,2018-05-22,2018,05,22,0.0,,PRCP
0,2018-05-23,2018,05,23,1.0,,PRCP
0,2018-05-24,2018,05,24,0.0,,PRCP
0,2018-05-25,2018,05,25,0.0,,PRCP
0,2018-05-26,2018,05,26,-999.9000000000001,,PRCP
0,2018-05-27,2018,05,27,6.9,,PRCP
0,2018-05-28,2018,05,28,-999.9000000000001,,PRCP
0,2018-05-29,2018,05,29,0.5,,PRCP
0,2018-05-30,2018,05,30,22.900000000000002,,PRCP
0,2018-06-01,2018,06,01,14.5,,PRCP
0,2018-06-02,2018,06,02,0.30000000000000004,,PRCP
0,2018-06-03,2018,06,03,0.30000000000000004,,PRCP
0,2018-06-04,2018,06,04,1.3,,PRCP
0,2018-06-05,2018,06,05,8.1,,PRCP
0,2018-06-06,2018,06,06,6.9,,PRCP
0,2018-06-07,2018,06,07,0.0,,PRCP
0,2018-06-08,2018,06,08,0.0,,PRCP
0,2018-06-09,2018,06,09,-999.9000000000001,,PRCP
0,2018-06-10,2018,06,10,-999.9000000000001,,PRCP
0,2018-06-11,2018,06,11,-999.9000000000001,,PRCP
0,2018-06-12,2018,06,12,-999.9000000000001,,PRCP
0,2018-06-13,2018,06,13,-999.9000000000001,,PRCP
0,2018-06-14,2018,06,14,-999.9000000000001,,PRCP
0,2018-06-15,2018,06,15,-999.9000000000001,,PRCP
0,2018-06-16,2018,06,16,-999.9000000000001,,PRCP
0,2018-06-17,2018,06,17,-999.9000000000001,,PRCP
0,2018-06-18,2018,06,18,-999.9000000000001,,PRCP
0,2018-06-19,2018,06,19,13.700000000000001,,PRCP
0,2018-06-20,2018,06,20,1.8,,PRCP
0,2018-06-21,2018,06,21,18.3,,PRCP
0,2018-06-22,2018,06,22,1.5,,PRCP
0,2018-06-23,2018,06,23,18.3,,PRCP
0,2018-06-24,2018,06,24,18.3,,PRCP
0,2018-06-25,2018,06,25,0.0,,PRCP
0,2018-06-26,2018,06,26,-999.9000000000001,,PRCP
0,2018-06-27,2018,06,27,-999.9000000000001,,PRCP
0,2018-06-28,2018,06,28,-999.9000000000001,,PRCP
0,2018-06-29,2018,06,29,-999.9000000000001,,PRCP
0,2018-06-30,2018,06,30,23.6,,PRCP
0,2018-07-01,2018,07,01,16.3,,PRCP
0,2018-07-02,2018,07,02,0.5,,PRCP
0,2018-07-03,2018,07,03,0.0,,PRCP
0,2018-07-04,2018,07,04,0.0,,PRCP
0,2018-07-05,2018,07,05,-999.9000000000001,,PRCP
0,2018-07-06,2018,07,06,0.5,,PRCP
0,2018-07-07,2018,07,07,3.8000000000000003,,PRCP
0,2018-07-08,2018,07,08,5.800000000000001,,PRCP
0,2018-07-09,2018,07,09,4.1000000000000005,,PRCP
0,2018-07-10,2018,07,10,0.0,,PRCP
0,2018-07-11,2018,07,11,-999.9000000000001,,PRCP
0,2018-07-12,2018,07,12,76.7,,PRCP
0,2018-07-13,2018,07,13,1.0,,PRCP
0,2018-07-14,2018,07,14,-999.9000000000001,,PRCP
0,2018-07-15,2018,07,15,-999.9000000000001,,PRCP
0,2018-07-16,2018,07,16,-999.9000000000001,,PRCP
0,2018-07-17,2018,07,17,-999.9000000000001,,PRCP
0,2018-07-18,2018,07,18,-999.9000000000001,,PRCP
0,2018-07-19,2018,07,19,-999.9000000000001,,PRCP
0,2018-07-20,2018,07,20,-999.9000000000001,,PRCP
0,2018-07-21,2018,07,21,-999.9000000000001,,PRCP
0,2018-07-22,2018,07,22,0.5,,PRCP
0,2018-07-23,2018,07,23,-999.9000000000001,,PRCP
0,2018-07-24,2018,07,24,0.0,,PRCP
0,2018-07-25,2018,07,25,0.0,,PRCP
0,2018-07-26,2018,07,26,-999.9000000000001,,PRCP
0,2018-07-27,2018,07,27,-999.9000000000001,,PRCP
0,2018-07-28,2018,07,28,-999.9000000000001,,PRCP
0,2018-07-29,2018,07,29,-999.9000000000001,,PRCP
0,2018-07-30,2018,07,30,-999.9000000000001,,PRCP
0,2018-08-01,2018,08,01,33.800000000000004,,PRCP
0,2018-08-02,2018,08,02,19.3,,PRCP
0,2018-08-03,2018,08,03,4.800000000000001,,PRCP
0,2018-08-04,2018,08,04,-999.9000000000001,,PRCP
0,2018-08-05,2018,08,05,-999.9000000000001,,PRCP
0,2018-08-06,2018,08,06,0.0,,PRCP
0,2018-08-07,2018,08,07,0.0,,PRCP
0,2018-08-08,2018,08,08,-999.9000000000001,,PRCP
0,2018-08-09,2018,08,09,1.8,,PRCP
0,2018-08-10,2018,08,10,23.400000000000002,,PRCP
0,2018-08-11,2018,08,11,-999.9000000000001,,PRCP
0,2018-08-12,2018,08,12,-999.9000000000001,,PRCP
0,2018-08-13,2018,08,13,-999.9000000000001,,PRCP
0,2018-08-14,2018,08,14,0.0,,PRCP
0,2018-08-15,2018,08,15,25.1,,PRCP
0,2018-08-16,2018,08,16,0.5,,PRCP
0,2018-08-17,2018,08,17,0.8,,PRCP
0,2018-08-18,2018,08,18,-999.9000000000001,,PRCP
0,2018-08-19,2018,08,19,0.0,,PRCP
0,2018-08-20,2018,08,20,-999.9000000000001,,PRCP
0,2018-08-21,2018,08,21,-999.9000000000001,,PRCP
0,2018-08-22,2018,08,22,-999.9000000000001,,PRCP
0,2018-08-23,2018,08,23,-999.9000000000001,,PRCP
0,2018-08-24,2018,08,24,-999.9000000000001,,PRCP
0,2018-08-25,2018,08,25,0.0,,PRCP
0,2018-08-26,2018,08,26,28.200000000000003,,PRCP
0,2018-08-27,2018,08,27,1.5,,PRCP
0,2018-08-28,2018,08,28,10.200000000000001,,PRCP
0,2018-08-29,2018,08,29,14.0,,PRCP
0,2018-08-30,2018,08,30,21.1,,PRCP
0,2018-09-01,2018,09,01,-999.9000000000001,,PRCP
0,2018-09-02,2018,09,02,-999.9000000000001,,PRCP
0,2018-09-03,2018,09,03,-999.9000000000001,,PRCP
0,2018-09-04,2018,09,04,-999.9000000000001,,PRCP
0,2018-09-05,2018,09,05,0.0,,PRCP
0,2018-09-06,2018,09,06,8.6,,PRCP
0,2018-09-07,2018,09,07,0.0,,PRCP
0,2018-09-08,2018,09,08,0.0,,PRCP
0,2018-09-09,2018,09,09,-999.9000000000001,,PRCP
0,2018-09-10,2018,09,10,-999.9000000000001,,PRCP
0,2018-09-11,2018,09,11,-999.9000000000001,,PRCP
0,2018-09-12,2018,09,12,-999.9000000000001,,PRCP
0,2018-09-13,2018,09,13,0.0,,PRCP
0,2018-09-14,2018,09,14,-999.9000000000001,,PRCP
0,2018-09-15,2018,09,15,-999.9000000000001,,PRCP
0,2018-09-16,2018,09,16,-999.9000000000001,,PRCP
0,2018-09-17,2018,09,17,-999.9000000000001,,PRCP
0,2018-09-18,2018,09,18,3.8000000000000003,,PRCP
0,2018-09-19,2018,09,19,-999.9000000000001,,PRCP
0,2018-09-20,2018,09,20,-999.9000000000001,,PRCP
0,2018-09-21,2018,09,21,-999.9000000000001,,PRCP
0,2018-09-22,2018,09,22,-999.9000000000001,,PRCP
0,2018-09-23,2018,09,23,42.400000000000006,,PRCP
0,2018-09-24,2018,09,24,-999.9000000000001,,PRCP
0,2018-09-25,2018,09,25,1.8,,PRCP
0,2018-09-26,2018,09,26,8.9,,PRCP
0,2018-09-27,2018,09,27,2.5,,PRCP
0,2018-09-28,2018,09,28,0.0,,PRCP
0,2018-09-29,2018,09,29,-999.9000000000001,,PRCP
0,2018-09-30,2018,09,30,-999.9000000000001,,PRCP
0,2018-10-01,2018,10,01,-999.9000000000001,,PRCP
0,2018-10-02,2018,10,02,-999.9000000000001,,PRCP
0,2018-10-03,2018,10,03,-999.9000000000001,,PRCP
0,2018-10-04,2018,10,04,-999.9000000000001,,PRCP
0,2018-10-05,2018,10,05,-999.9000000000001,,PRCP
0,2018-10-06,2018,10,06,-999.9000000000001,,PRCP
0,2018-10-07,2018,10,07,-999.9000000000001,,PRCP
0,2018-10-08,2018,10,08,3.6,,PRCP
0,2018-10-09,2018,10,09,11.4,,PRCP
0,2018-10-10,2018,10,10,0.0,,PRCP
0,2018-10-11,2018,10,11,0.0,,PRCP
0,2018-10-12,2018,10,12,-999.9000000000001,,PRCP
0,2018-10-13,2018,10,13,10.4,,PRCP
0,2018-10-14,2018,10,14,8.1,,PRCP
0,2018-10-15,2018,10,15,9.4,,PRCP
0,2018-10-16,2018,10,16,6.4,,PRCP
0,2018-10-17,2018,10,17,0.0,,PRCP
0,2018-10-18,2018,10,18,0.0,,PRCP
0,2018-10-19,2018,10,19,-999.9000000000001,,PRCP
0,2018-10-20,2018,10,20,6.6000000000000005,,PRCP
0,2018-10-21,2018,10,21,2.5,,PRCP
0,2018-10-22,2018,10,22,2.0,,PRCP
0,2018-10-23,2018,10,23,3.8000000000000003,,PRCP
