,datetime,year,month,day,value,color,type
0,2018-03-01,2018,03,01,15.4,#00FF37,TAVG
0,2018-03-02,2018,03,02,10.8,#00FFBF,TAVG
0,2018-03-03,2018,03,03,19.400000000000002,#3FFF00,TAVG
0,2018-03-04,2018,03,04,17.1,#00FF04,TAVG
0,2018-03-05,2018,03,05,8.9,#00FFF6,TAVG
0,2018-03-06,2018,03,06,7.2,#00D4FF,TAVG
0,2018-03-07,2018,03,07,5.300000000000001,#009DFF,TAVG
0,2018-03-08,2018,03,08,8.6,#00FFFF,TAVG
0,2018-03-09,2018,03,09,10.600000000000001,#00FFC3,TAVG
0,2018-03-10,2018,03,10,15.4,#00FF37,TAVG
0,2018-03-11,2018,03,11,13.700000000000001,#00FF6A,TAVG
0,2018-03-12,2018,03,12,18.5,#26FF00,TAVG
0,2018-03-13,2018,03,13,17.400000000000002,#04FF00,TAVG
0,2018-03-14,2018,03,14,18.1,#19FF00,TAVG
0,2018-03-15,2018,03,15,20.8,#6AFF00,TAVG
0,2018-03-16,2018,03,16,10.100000000000001,#00FFD4,TAVG
0,2018-03-17,2018,03,17,9.3,#00FFE9,TAVG
0,2018-03-18,2018,03,18,7.9,#00E9FF,TAVG
0,2018-03-19,2018,03,19,7.7,#00E1FF,TAVG
0,2018-03-20,2018,03,20,6.2,#00B6FF,TAVG
0,2018-03-21,2018,03,21,8.4,#00F6FF,TAVG
0,2018-03-22,2018,03,22,15.4,#00FF37,TAVG
0,2018-03-23,2018,03,23,19.3,#3FFF00,TAVG
0,2018-03-24,2018,03,24,14.100000000000001,#00FF5D,TAVG
0,2018-03-25,2018,03,25,13.600000000000001,#00FF6A,TAVG
0,2018-03-26,2018,03,26,15.9,#00FF26,TAVG
0,2018-03-27,2018,03,27,19.200000000000003,#3BFF00,TAVG
0,2018-03-28,2018,03,28,21.5,#7FFF00,TAVG
0,2018-03-29,2018,03,29,19.900000000000002,#50FF00,TAVG
0,2018-03-30,2018,03,30,19.700000000000003,#48FF00,TAVG
