,datetime,year,month,day,value,color,type
0,2018-03-01,2018,03,01,-999.9000000000001,,TMIN
0,2018-03-02,2018,03,02,9.3,,TMIN
0,2018-03-03,2018,03,03,10.100000000000001,,TMIN
0,2018-03-04,2018,03,04,-999.9000000000001,,TMIN
0,2018-03-05,2018,03,05,-999.9000000000001,,TMIN
0,2018-03-06,2018,03,06,-999.9000000000001,,TMIN
0,2018-03-07,2018,03,07,-999.9000000000001,,TMIN
0,2018-03-08,2018,03,08,3.0,,TMIN
0,2018-03-09,2018,03,09,4.0,,TMIN
0,2018-03-10,2018,03,10,6.5,,TMIN
0,2018-03-11,2018,03,11,-999.9000000000001,,TMIN
0,2018-03-12,2018,03,12,10.3,,TMIN
0,2018-03-13,2018,03,13,15.3,,TMIN
0,2018-03-14,2018,03,14,-999.9000000000001,,TMIN
0,2018-03-15,2018,03,15,-999.9000000000001,,TMIN
0,2018-03-16,2018,03,16,9.4,,TMIN
0,2018-03-17,2018,03,17,-999.9000000000001,,TMIN
0,2018-03-18,2018,03,18,-999.9000000000001,,TMIN
0,2018-03-19,2018,03,19,-999.9000000000001,,TMIN
0,2018-03-20,2018,03,20,-999.9000000000001,,TMIN
0,2018-03-21,2018,03,21,2.0,,TMIN
0,2018-03-22,2018,03,22,4.3,,TMIN
0,2018-03-23,2018,03,23,11.4,,TMIN
0,2018-03-24,2018,03,24,-999.9000000000001,,TMIN
0,2018-03-25,2018,03,25,-999.9000000000001,,TMIN
0,2018-03-26,2018,03,26,11.100000000000001,,TMIN
0,2018-03-27,2018,03,27,10.8,,TMIN
0,2018-03-28,2018,03,28,14.200000000000001,,TMIN
0,2018-03-29,2018,03,29,16.6,,TMIN
0,2018-03-30,2018,03,30,17.0,,TMIN
0,2018-04-01,2018,04,01,16.0,,TMIN
0,2018-04-02,2018,04,02,19.3,,TMIN
0,2018-04-03,2018,04,03,-999.9000000000001,,TMIN
0,2018-04-04,2018,04,04,-999.9000000000001,,TMIN
0,2018-04-05,2018,04,05,7.7,,TMIN
0,2018-04-06,2018,04,06,7.4,,TMIN
0,2018-04-07,2018,04,07,-999.9000000000001,,TMIN
0,2018-04-08,2018,04,08,7.300000000000001,,TMIN
0,2018-04-09,2018,04,09,11.700000000000001,,TMIN
