,datetime,year,month,day,value,color,type
0,2018-04-01,2018,04,01,-999.9000000000001,,TMAX
0,2018-04-02,2018,04,02,-999.9000000000001,,TMAX
0,2018-04-03,2018,04,03,-999.9000000000001,,TMAX
0,2018-04-04,2018,04,04,-999.9000000000001,,TMAX
0,2018-04-05,2018,04,05,-999.9000000000001,,TMAX
0,2018-04-06,2018,04,06,-999.9000000000001,,TMAX
0,2018-04-07,2018,04,07,-999.9000000000001,,TMAX
0,2018-04-08,2018,04,08,-999.9000000000001,,TMAX
0,2018-04-09,2018,04,09,-999.9000000000001,,TMAX
0,2018-04-10,2018,04,10,-999.9000000000001,,TMAX
0,2018-04-11,2018,04,11,28.3,,TMAX
0,2018-04-12,2018,04,12,-999.9000000000001,,TMAX
0,2018-04-13,2018,04,13,-999.9000000000001,,TMAX
0,2018-04-14,2018,04,14,-999.9000000000001,,TMAX
0,2018-04-15,2018,04,15,-999.9000000000001,,TMAX
0,2018-04-16,2018,04,16,-999.9000000000001,,TMAX
0,2018-04-17,2018,04,17,-999.9000000000001,,TMAX
0,2018-04-18,2018,04,18,-999.9000000000001,,TMAX
0,2018-04-19,2018,04,19,-999.9000000000001,,TMAX
0,2018-04-20,2018,04,20,-999.9000000000001,,TMAX
0,2018-04-21,2018,04,21,-999.9000000000001,,TMAX
0,2018-04-22,2018,04,22,-999.9000000000001,,TMAX
0,2018-04-23,2018,04,23,-999.9000000000001,,TMAX
0,2018-04-24,2018,04,24,-999.9000000000001,,TMAX
0,2018-04-25,2018,04,25,-999.9000000000001,,TMAX
0,2018-04-26,2018,04,26,-999.9000000000001,,TMAX
0,2018-04-27,2018,04,27,-999.9000000000001,,TMAX
0,2018-04-28,2018,04,28,-999.9000000000001,,TMAX
0,2018-04-29,2018,04,29,-999.9000000000001,,TMAX
0,2018-04-30,2018,04,30,-999.9000000000001,,TMAX
0,2018-06-01,2018,06,01,-999.9000000000001,,TMAX
0,2018-06-02,2018,06,02,-999.9000000000001,,TMAX
0,2018-06-03,2018,06,03,-999.9000000000001,,TMAX
